REFCAT;Suelo;Vulnerabilidad;year;floor;facadeL;CUSEC
000100100XG16H;C;RC31-PRE;1988;1;57,729999999999997;3002402004
000100200XG16H;D;RC31-PRE;1973;2;38,920000000000002;3002402004
000100300XG16H;C;RC31-PRE;1975;2;43,140000000000001;3002402004
000100400XG16H;D;RC31-PRE;1976;2;66,260000000000005;3002401030
000100500XG16H;C;M34-PRE;1955;2;42,229999999999997;3002402004
000100800XG16H;C;RC31-PRE;1984;2;81,799999999999997;3002402004
000100900XG16H;C;M34-PRE;1950;1;63,649999999999999;3002402004
000101000XG16H;C;RC31-PRE;1968;2;75,239999999999995;3002402004
000101100XG16H;C;RC31-PRE;1975;2;43,140000000000001;3002402004
000101200XG16H;C;RC31-PRE;1979;2;77,030000000000001;3002402004
000101300XG16H;C;RC31-PRE;1979;3;65,069999999999993;3002402004
000101400XG16H;C;M34-PRE;1960;2;50,200000000000003;3002402004
000101800XG16H;C;RC31-PRE;1981;2;78,349999999999994;3002402004
000101900XG16H;C;RC31-PRE;1970;3;39,899999999999999;3002402004
000102000XG16H;C;RC31-PRE;1976;1;60,399999999999999;3002402004
000102100XG16H;C;RC31-PRE;1971;1;116,439999999999998;3002402004
000200100XG16H;C;RC31-PRE;1993;1;61,100000000000001;3002402021
000209300XG16H;C;RC31-PRE;1965;2;44,030000000000001;3002402004
000209400XG16H;C;RC31-PRE;1965;1;36,509999999999998;3002402004
000209600XG16H;C;M11-PRE;1900;2;59,130000000000003;3002402021
000209700XG16H;C;M11-PRE;1900;2;51,060000000000002;3002402021
000209800XG16H;C;RC31-PRE;1985;1;61,200000000000003;3002402021
000209900XG16H;C;M34-PRE;1956;2;44,009999999999998;3002402021
000210000XG16H;C;M34-PRE;1956;2;44,079999999999998;3002402021
000210100XG16H;C;M34-PRE;1948;2;34,079999999999998;3002402021
000210200XG16H;C;RC31-PRE;1970;1;43,439999999999998;3002402021
000210300XG16H;C;RC31-PRE;1980;3;71,489999999999995;3002402021
000210400XG16H;C;M34-PRE;1960;3;41,170000000000002;3002402021
000210500XG16H;C;RC31-PRE;1970;1;40,329999999999998;3002402021
000210700XG16H;C;RC31-PRE;1978;1;53,009999999999998;3002402021
000210900XG16H;C;RC31-PRE;1994;2;39,969999999999999;3002402021
000211000XG16H;C;M34-PRE;1960;1;58,119999999999997;3002402021
000212900XG16H;C;RC31-PRE;1980;1;45,670000000000002;3002402004
000213000XG16H;C;RC31-PRE;1970;2;27,870000000000001;3002402004
000213100XG16H;C;RC31-PRE;1970;1;36,899999999999999;3002402004
000213200XG16H;C;M11-PRE;1900;2;50,299999999999997;3002402004
000213300XG16H;C;RC31-PRE;1977;2;50,320000000000000;3002402004
000213400XG16H;C;RC31-PRE;1970;2;40,630000000000003;3002402004
000213600XG16H;C;RC31-PRE;1994;2;55,200000000000003;3002402004
000213800XG16H;C;M34-PRE;1950;2;42,500000000000000;3002402004
000213900XG16H;C;M11-PRE;1900;2;61,130000000000003;3002402004
000214000XG16H;C;RC31-PRE;1996;2;53,689999999999998;3002402004
000214100XG16H;C;RC31-PRE;1968;2;89,780000000000001;3002402004
000214200XG16H;C;M11-PRE;1900;2;35,140000000000001;3002402004
000214400XG16H;C;RC31-PRE;1982;2;46,969999999999999;3002402004
000214500XG16H;C;RC31-PRE;1980;1;56,299999999999997;3002402004
000214600XG16H;C;RC31-PRE;1980;2;94,629999999999995;3002402004
000214700XG16H;D;M11-PRE;1900;2;51,649999999999999;3002402004
000215000XG16H;D;M34-PRE;1943;1;65,900000000000006;3002402004
000215100XG16H;D;RC31-PRE;1966;2;58,859999999999999;3002402004
000215300XG16H;D;RC31-PRE;1970;2;106,959999999999994;3002402004
000308900XG16H;D;RC31-PRE;1970;2;56,719999999999999;3002402004
000401600XG17A;D;RC31-PRE;1970;1;124,980000000000004;3002401018
000402100XG17A;D;RC31-PRE;1993;1;43,969999999999999;3002401018
000402200XG17A;D;RC31-PRE;1993;1;103,480000000000004;3002401018
000500600XG17A;C;M11-PRE;1920;1;38,859999999999999;3002401018
000600300XG16H;C;RC31-LOW;1998;3;53,899999999999999;3002402028
000600500XG16H;C;RC31-PRE;1993;3;63,840000000000003;3002402001
000600600XG16H;C;M31-PRE;1925;2;77,989999999999995;3002402001
000601100XG16H;C;M11-PRE;1888;2;39,240000000000002;3002402001
000601200XG16H;C;M11-PRE;1888;1;47,070000000000000;3002402001
000602000XG16H;C;RC31-PRE;1986;2;30,030000000000001;3002402001
000602100XG16H;C;M11-PRE;1920;1;21,239999999999998;3002402001
000606500XG16H;C;RC31-LOW;1999;2;53,810000000000002;3002402001
000606700XG16H;C;M11-PRE;1900;2;38,049999999999997;3002402004
000612300XG16H;C;RC31-PRE;1968;2;36,070000000000000;3002402004
000614300XG16H;C;M11-PRE;1888;2;59,979999999999997;3002402004
000614400XG16H;C;M31-PRE;1940;2;49,530000000000001;3002402004
000700100XG17B;C;M34-PRE;1944;2;54,899999999999999;3002402005
000700300XG17B;C;RC31-PRE;1986;1;50,549999999999997;3002402005
000700400XG17B;C;RC31-PRE;1987;1;20,250000000000000;3002401029
000700500XG17B;C;M11-PRE;1900;2;94,430000000000007;3002402022
000701400XG17B;C;RC31-LOW;2005;1;83,269999999999996;3002402022
000708500XG16H;C;M11-PRE;1900;2;46,469999999999999;3002402004
001200300XG17B;C;RC31-PRE;1965;3;56,740000000000002;3002402005
001200400XG17B;C;M34-PRE;1965;1;52,039999999999999;3002402005
001200600XG17B;C;M31-PRE;1940;1;68,060000000000002;3002402005
001200700XG17B;C;RC31-PRE;1978;3;45,789999999999999;3002402005
001500100XG17A;C;RC31-PRE;1995;1;151,469999999999999;3002402015
001500500XG16G;C;RC31-LOW;2000;1;56,009999999999998;3002402001
001500900XG16G;C;M31-PRE;1940;1;50,079999999999998;3002402001
001501000XG16G;C;RC31-PRE;1974;1;51,799999999999997;3002402001
001501100XG16G;C;M11-PRE;1900;1;25,750000000000000;3002402001
001501200XG16G;C;M11-PRE;1900;1;33,950000000000003;3002402001
001501300XG16G;C;RC31-PRE;1976;2;44,039999999999999;3002402001
001501300XG17A;C;RC31-PRE;1989;2;84,590000000000003;3002402015
001501400XG16G;C;M11-PRE;1900;1;39,369999999999997;3002402001
001501400XG17A;C;RC31-PRE;1982;1;67,810000000000002;3002402015
001501500XG16G;C;RC31-PRE;1984;2;51,119999999999997;3002402001
001501600XG16G;C;M11-PRE;1888;1;41,240000000000002;3002402026
001502000XG16G;C;RC31-PRE;1965;2;44,439999999999998;3002402026
001503300XG16G;C;RC31-PRE;1973;1;51,570000000000000;3002401031
001503400XG16G;C;RC31-PRE;1985;3;54,899999999999999;3002401031
001503500XG16G;C;RC31-PRE;1986;2;43,710000000000001;3002401031
001503600XG16G;C;RC31-PRE;1979;1;49,200000000000003;3002401031
001503700XG16G;C;RC31-PRE;1988;2;48,930000000000000;3002401031
001503800XG16G;C;M34-PRE;1960;1;57,170000000000002;3002401031
001503900XG16G;C;RC31-PRE;1950;1;39,100000000000001;3002401031
001504000XG16G;C;M34-PRE;1960;1;30,039999999999999;3002401031
001504100XG16G;C;RC31-PRE;1983;2;59,649999999999999;3002401031
001504300XG16G;C;RC31-PRE;1978;2;402,290000000000020;3002401031
001504400XG16G;C;RC31-PRE;1987;2;54,950000000000003;3002401031
001504500XG16G;C;RC31-PRE;1965;2;50,829999999999998;3002401031
001504600XG16G;C;M34-PRE;1960;1;40,460000000000001;3002401031
001504700XG16G;C;RC31-PRE;1988;1;42,850000000000001;3002401031
001504800XG16G;C;RC31-PRE;1988;2;28,910000000000000;3002401031
001900200XG16G;C;M34-PRE;1968;1;49,659999999999997;3002402013
001900400XG16G;C;M34-PRE;1961;1;40,869999999999997;3002402013
001900500XG16G;C;RC31-PRE;1981;2;42,500000000000000;3002402013
002003100XG16G;C;RC31-PRE;1988;1;66,060000000000002;3002401031
002003200XG16G;C;RC31-PRE;1975;2;75,099999999999994;3002401031
002003600XG16G;C;RC31-PRE;1985;2;48,310000000000002;3002401031
002003900XG16G;C;M34-PRE;1985;2;50,469999999999999;3002401031
002100100XG17B;C;RC31-LOW;1997;1;44,619999999999997;3002401030
002203600XG17B;D;RC31-PRE;1985;2;48,079999999999998;3002402006
002206700XG17B;D;RC31-PRE;1988;3;71,750000000000000;3002402004
