UID,REFCAT,Vulnerabilidad,SA,GradoDanio,PGA,Suelo,pNull,pLow,pMod,pExt,pCom,pMean,ojo,year,floor,facadeL,Escombro
0,000100100XG16H,RC31-PRE,0.4,Sligth,0.24,C,0.538,0.279,0.152,0.026,0.004,Sligth,Reinforced Concrete,1988,1,57.73,0.00408
1,000100200XG16H,RC31-PRE,0.448,Sligth,0.247,D,0.412,0.305,0.225,0.049,0.009,Sligth,Reinforced Concrete,1973,2,38.92,0.00406
2,000100300XG16H,RC31-PRE,0.4,Sligth,0.24,C,0.539,0.279,0.152,0.026,0.004,Sligth,Reinforced Concrete,1975,2,43.14,0.00409
3,000100400XG16H,RC31-PRE,0.448,Sligth,0.247,D,0.412,0.305,0.225,0.049,0.009,Sligth,Reinforced Concrete,1976,2,66.26,0.00396
4,000100500XG16H,M34-PRE,0.577,Sligth,0.241,C,0.241,0.579,0.131,0.044,0.005,Sligth,Masonry,1955,2,42.23,0.01054
5,000100800XG16H,RC31-PRE,0.402,Sligth,0.242,C,0.535,0.28,0.154,0.026,0.004,Sligth,Reinforced Concrete,1984,2,81.8,0.00396
6,000100900XG16H,M34-PRE,0.581,Sligth,0.243,C,0.235,0.58,0.134,0.045,0.006,Sligth,Masonry,1950,1,63.65,0.01037
7,000101000XG16H,RC31-PRE,0.405,Sligth,0.243,C,0.532,0.281,0.156,0.027,0.004,Sligth,Reinforced Concrete,1968,2,75.24,0.00399
8,000101100XG16H,RC31-PRE,0.405,Sligth,0.244,C,0.53,0.282,0.157,0.027,0.004,Sligth,Reinforced Concrete,1975,2,43.14,0.00409
9,000101200XG16H,RC31-PRE,0.407,Sligth,0.245,C,0.528,0.282,0.158,0.027,0.004,Sligth,Reinforced Concrete,1979,2,77.03,0.00395
10,000101300XG16H,RC31-PRE,0.406,Sligth,0.245,C,0.529,0.282,0.158,0.027,0.004,Sligth,Reinforced Concrete,1979,3,65.07,0.004
11,000101400XG16H,M34-PRE,0.586,Sligth,0.245,C,0.227,0.581,0.138,0.048,0.006,Sligth,Masonry,1960,2,50.2,0.01047
12,000101800XG16H,RC31-PRE,0.414,Sligth,0.25,C,0.516,0.286,0.165,0.029,0.005,Sligth,Reinforced Concrete,1981,2,78.35,0.00404
13,000101900XG16H,RC31-PRE,0.414,Sligth,0.25,C,0.516,0.286,0.165,0.029,0.005,Sligth,Reinforced Concrete,1970,3,39.9,0.00401
14,000102000XG16H,RC31-PRE,0.414,Sligth,0.25,C,0.516,0.286,0.164,0.029,0.005,Sligth,Reinforced Concrete,1976,1,60.4,0.00399
15,000102100XG16H,RC31-PRE,0.415,Sligth,0.251,C,0.514,0.286,0.166,0.029,0.005,Sligth,Reinforced Concrete,1971,1,116.44,0.00398
16,000200100XG16H,RC31-PRE,0.417,Sligth,0.252,C,0.51,0.287,0.167,0.03,0.005,Sligth,Reinforced Concrete,1993,1,61.1,0.00396
17,000209300XG16H,RC31-PRE,0.416,Sligth,0.251,C,0.513,0.287,0.166,0.03,0.005,Sligth,Reinforced Concrete,1965,2,44.03,0.00404
